id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating
59,HP,,2.48,16.0,104990,6.0,,,16.1,4.4,32.0,https://amazon.in/HP-Processor-16-1-inch-Graphics-16-e0361ax/dp/B09RX3NP7H/ref=sr_1_118?keywords=laptop&qid=1656489498&sr=8-118,https://images-eu.ssl-images-amazon.com/images/I/319S5IJ6MaL._SY300_SX300_QL70_ML2_.jpg,4.7 out of 5 stars
60,Lenovo,,1.2,4.0,27999,,,7.0,11.6,1.1,4.0,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/dp/B09G9ZPV38/ref=sr_1_119?keywords=laptop&qid=1656489498&sr=8-119,https://m.media-amazon.com/images/I/41F52ef+pdL._SX300_SY300_.jpg,4.0 out of 5 stars
61,Dell,,3.6,4.0,21999,,250.0,1.5,14.0,,8.0,https://amazon.in/REFURBISHED-Dell-E6420-Discontinued-Manufacturer/dp/B07HR5Z6Y1/ref=sr_1_120?keywords=laptop&qid=1656489498&sr=8-120,https://images-eu.ssl-images-amazon.com/images/I/41rlyvlYflL._SX300_SY300_QL70_ML2_.jpg,3.0 out of 5 stars
62,HP,,1.75,16.0,67000,,512.0,4.0,15.6,4.2,16.0,https://amazon.in/HP-Pavilion-Anti-Glare-Fingerprint-15-eh1108AU/dp/B09HV3WT9J/ref=sr_1_121?keywords=laptop&qid=1656489498&sr=8-121,https://images-eu.ssl-images-amazon.com/images/I/41R2RA5Pq7L._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars
63,Lenovo,,1.5899999999999999,16.0,69990,32.0,,5.0,14.0,2.4,32.0,https://amazon.in/Lenovo-ThinkPad-Antiglare-Microsoft-20TAS13N00/dp/B09S5T2HR3/ref=sr_1_122?keywords=laptop&qid=1656489498&sr=8-122,https://m.media-amazon.com/images/I/51+yclVBCRL._SX300_SY300_.jpg,4.0 out of 5 stars
64,Lenovo,,1.7,8.0,32990,,1024.0,7.0,15.6,4.1,12.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg8_1?ie=UTF8&adId=A016494738N1UBNN0M6MM&url=%2FLenovo-IdeaPad-Warranty-Platinum-81WB018YIN%2Fdp%2FB09Q92YBWG%2Fref%3Dsr_1_123_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489498%26sr%3D8-123-spons%26psc%3D1&qualifier=1656489498&id=4037730115212175&widgetName=sp_mtf,https://images-eu.ssl-images-amazon.com/images/I/41PnIUzyYML._SX300_SY300_QL70_ML2_.jpg,3.8 out of 5 stars
65,Lenovo,,1.41,8.0,40490,,,7.5,14.0,4.1,12.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg8_1?ie=UTF8&adId=A0164547NTC2WO0KFOTC&url=%2FLenovo-IdeaPad-Windows-Warranty-82H701DMIN%2Fdp%2FB09Y5VD8N7%2Fref%3Dsr_1_124_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489498%26sr%3D8-124-spons%26psc%3D1&qualifier=1656489498&id=4037730115212175&widgetName=sp_mtf,https://images-eu.ssl-images-amazon.com/images/I/51No3qYfAYL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
66,ASUS,,1.6,8.0,34118,8.0,256.0,6.0,15.984251968503937,3.4,12.0,https://amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV311WS/dp/B09RQKJXNW/ref=sr_1_125?keywords=laptop&qid=1656489498&sr=8-125,https://images-eu.ssl-images-amazon.com/images/I/41H42FebSmL._SX300_SY300_QL70_ML2_.jpg,4.7 out of 5 stars
67,Acer,,1.4,4.0,23990,,256.0,8.0,,2.8,4.0,https://amazon.in/Acer-Travelmate-Dual-core-Processor-TMB311-31/dp/B09MM8CVRN/ref=sr_1_126?keywords=laptop&qid=1656489498&sr=8-126,https://images-eu.ssl-images-amazon.com/images/I/41Ls3cKVwnL._SY300_SX300_QL70_ML2_.jpg,4.1 out of 5 stars
68,ASUS,FA506IHRB-HN079W,2.3,,59990,8.0,512.0,,17.79527559055118,4.0,32.0,https://amazon.in/ASUS-15-6-inch-GeForce-GTX-Windows-FA506IHRB-HN079W/dp/B09ZXPNJYQ/ref=sr_1_127?keywords=laptop&qid=1656489498&sr=8-127,https://images-eu.ssl-images-amazon.com/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,2.9 out of 5 stars
69,Lenovo,,2.3,8.0,60889,4.0,1024.0,6.8,15.6,3.0,16.0,https://amazon.in/Lenovo-Windows-Graphics-Phantom-82B500BHIN/dp/B08GG8WCW7/ref=sr_1_128?keywords=laptop&qid=1656489498&sr=8-128,https://images-eu.ssl-images-amazon.com/images/I/5174QzS5xDL._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars
70,HP,,1.75,8.0,55490,4.0,,,15.6,4.3,16.0,https://amazon.in/Pavilion-5-5625U-Micro-Edge-Graphics-15-Eh2018Au/dp/B09V1F51SF/ref=sr_1_129?keywords=laptop&qid=1656489498&sr=8-129,https://images-eu.ssl-images-amazon.com/images/I/41KWqUTiKLL._SX300_SY300_QL70_ML2_.jpg,4.4 out of 5 stars
71,Dell,,1.46,8.0,57400,,512.0,4.0,14.0,1.4,32.0,https://amazon.in/Dell-Inspiron-Keyboard-Platinum-C782502WIN8/dp/B09HS91B1V/ref=sr_1_130?keywords=laptop&qid=1656489498&sr=8-130,https://images-eu.ssl-images-amazon.com/images/I/41PwNDrejdL._SY300_SX300_QL70_ML2_.jpg,4.3 out of 5 stars
